"Source:","C:/Users/huang/Dropbox/git/signpost/modules/ambient/rev_c/ambient.sch"
"Date:","1/22/2017 6:07:03 PM"
"Tool:","Eeschema 4.0.4-stable"
"Component Count:","63"
"Refs","Value","Qty","Vendor 1","Vendor 1 Part Number","Bought"
"C1 ","GENERIC_C_0805","1","Digikey","490-8316-1-ND"
"C13 C16 C19 ","C_10u_0603_10V_10%_JB","3","Digikey","445-11201-1-ND"
"C2 ","GENERIC_C_0805","1","Digikey","490-1719-1-ND"
"C20 ","GENERIC_C_0402","1","Digikey","490-5922-6-ND"
"C3 C4 C6 C7 C10 C11 C12 C14 C15 C17 C18 C21 ","C_0.1u_0402_10V_10%_JB","12","Digikey","445-10894-1-ND"
"C5 C8 ","GENERIC_C_0402","2","Digikey","490-8230-1-ND"
"C9 ","C_4.7u_0402_10V_10%_X5R","1","Digikey","445-8023-1-ND"
"D1 D2 D3 ","LED","3","",""
"H1 H2 H3 H4 ","SIGNPOST_HOLE","4","",""
"L1 ",".47 uH","1","Digikey","490-10596-1-ND"
"L2 ","1.5k Ohm","1","Digikey","1276-6395-1-ND"
"L3 ","22uH","1","Digikey","490-5350-1-ND"
"P1 ","CONN_01X03","1","",""
"P2 ","CONN_01X06","1","",""
"P3 ","SIGNPOST_MODULE_GENERIC","1","Digikey","S9170-ND"
"P4 ","JLINK-TC","1","",""
"P5 ","CONN_01X02","1","",""
"P6 ","CONN_02X04","1","",""
"R1 R5 R6 ","R_10k_0402_1%,100ppm/c,0.063W","3","Digikey","RHM10.0KCDCT-ND"
"R14 ","GENERIC_R_0402","1","Digikey","P10KJCT-ND"
"R15 ","R_0_0402_.1W","1","Digikey","P0.0JCT-ND"
"R2 R3 R4 ","R_1K_0402_1%,100ppm/c,0.2W","3","Digikey","P17224CT-ND"
"R7 R8 R9 R10 R11 R12 R13 ","R_100K_0402_0.5%,25ppm/c,0.063W","7","Digikey","RR05P100KDCT-ND	"
"SW1 ","BSU-1000P","1","Digikey","SW1020CT-ND"
"U1 ","LPS25HB","1","Digikey","497-15070-1-ND"
"U2 ","TPS62086","1","Digikey","296-40831-1-ND"
"U3 ","LPS35HW","1","Digikey","497-16706-1-ND"
"U4 ","SAM4LC8A","1","Digikey","ATSAM4LC8AA-MU-ND"
"U5 ","ISL29035","1","Digikey","ISL29035IROZ-T7CT-ND"
"U6 ","LPS331AP","1","Digikey","OBSOLETE"
"U7 ","Si7021","1","Digikey","336-3140-5-ND"
"U8 ","TSL2561","1","Digikey","TSL2561-FNCT-ND"
"U9 ","EKMB1101111","1","Digikey","EKMB1101111"
"Y1 ","FH1600015","1","Digikey","FH1600015CT-ND"
