"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"DIGIKEY";"MANUFACTURER";"MPN";
"C1";"8pF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 8PF 50V C0G/NP0 0402";"490-8230-1-ND";"Murata";"GRM1555C1H8R0BA01D";
"C2";"8pF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 8PF 50V C0G/NP0 0402";"490-8230-1-ND";"Murata";"GRM1555C1H8R0BA01D";
"C3";"33pF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"CAP CER 33PF 50V C0G/NP0 0603";"490-1415-1-ND";"Murata";"GRM1885C1H330JA01D";
"C4";"1nF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"CAP CER 1000PF 50V X7R 0603";"490-1494-1-ND";"Murata";"GRM188R71H102KA01D";
"C5";"2.2nF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 2200PF 6.3V 10% X7R 0402";"490-11418-1-ND";"Murata";"GRM155R70J222KA01D";
"C6";"2.2nF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 2200PF 6.3V 10% X7R 0402";"490-11418-1-ND";"Murata";"GRM155R70J222KA01D";
"C7";"3.3nF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 3300PF 50V 10% X7R 0402";"490-3248-1-ND";"Murata";"GRM155R71H332KA01D";
"C8";"0.1uF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 0.1UF 16V X7R 0402";"490-6328-1-ND";"Murata";"GRM155R71C104KA88J";
"C9";"0.1uF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"CAP CER 0.1UF 16V X7R 0603";"490-1532-1-ND";"Murata";"GRM188R71C104KA01D";
"C10";"0.1uF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"CAP CER 0.1UF 16V X7R 0603";"490-1532-1-ND";"Murata";"GRM188R71C104KA01D";
"C11";"100nF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 0.1UF 10V X7R 0402";"490-10777-1-ND";"Murata";"GRM155R71A104JA01D";
"C12";"100nF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 0.1UF 10V X7R 0402";"490-10777-1-ND";"Murata";"GRM155R71A104JA01D";
"C13";"100nF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 0.1UF 10V X7R 0402";"490-10777-1-ND";"Murata";"GRM155R71A104JA01D";
"C14";"100nF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 0.1UF 10V X7R 0402";"490-10777-1-ND";"Murata";"GRM155R71A104JA01D";
"C15";"100nF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 0.1UF 10V X7R 0402";"490-10777-1-ND";"Murata";"GRM155R71A104JA01D";
"C16";"100nF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 0.1UF 10V X7R 0402";"490-10777-1-ND";"Murata";"GRM155R71A104JA01D";
"C17";"4.7uF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 4.7UF 6.3V X5R 0402";"1276-1481-1-ND";"Samsung";"CL05A475KQ5NRNC";
"C18";"4.7uF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 4.7UF 6.3V X5R 0402";"1276-1481-1-ND";"Samsung";"CL05A475KQ5NRNC";
"C19";"4.7uF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 4.7UF 6.3V X5R 0402";"1276-1481-1-ND";"Samsung";"CL05A475KQ5NRNC";
"C20";"6.8uF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"CAP CER 6.8UF 10V X5R 0603";"445-7484-1-ND";"TDK";"C1608X5R1A685K080AC";
"C21";"10uF";"CAPACITOR0805_CAP";"0805_CAP";"SMD Capacitor";"CAP CER 10UF 10V X5R 0805";"399-4925-1-ND";"KEMET";"C0805C106K8PACTU";
"C22";"22uF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"CAP CER 22UF 6.3V X5R 0603";"311-1815-1-ND";"Yageo";"CC0603MRX5R5BB226";
"C23";"100uF";"CAPACITOR1210_CAP";"1210_CAP";"SMD Capacitor";"CAP CER 100UF 6.3V 20% X5R 1210";"490-3390-1-ND";"Murata";"GRM32ER60J107ME20L";
"FB1";"1.5k";"FERRITE_BEAD0402";"0402_CAP";"";"FERRITE BEAD 1.5 KOHM 0603 1LN";"490-5216-1-ND";"Murata";"BLM18HE152SN1D";
"J1";"";"JUMPER-2PTH";"1X02";"Jumper";"";"";"";"";
"J3";"TC2030-JLINK-L";"TC2030-JLINK-L";"TC2030-IDC";"";"";"";"";"";
"J6";"SIGNPOST_MODULE_HEADER";"SIGNPOST_MODULE_HEADER";"SIGNPOST_MODULE_HEADER";"The 14 pin signpost module header";"";"S9170-ND";"Sullins Connector";"SBH11-PBPC-D07-ST-BK";
"J7";"SIGNPOST_DEBUG_HEADER";"SIGNPOST_DEBUG_HEADER";"SIGNPOST_DEBUG_HEADER";"The 8 Pin signpost Debug Header";"";"S2221EC-04-ND";"Sullins Connector";"PRPC004DFBN-RC";
"JP1";"";"PINHD-1X8";"1X08";"PIN HEADER";"";"";"";"";
"L1";"2.2uH";"INDUCTORIHL";"IHL-1212BZ-11";"A very specific inductor";"";"541-1322-1-ND";"Vishay Dale";"IHLP1212BZER2R2M11";
"L2";"22uH";"LHQ3NP";"1212";"LHQ3NP Inductor";"";"490-5350-1-ND";"Murata";"LQH3NPN220MJ0L";
"LED1";"LED0603";"LED0603";"LED-0603";"LED";"LED GREEN CLEAR 0603 SMD";"160-1446-1-ND";"Lite-On";"LTST-C191KGKT";
"Q1";"SI223DDS";"SI223DDS";"SOT23-3";"6A SOT-23 P Fet";"";"SI2333DDS-T1-GE3CT-ND";"Vishay Siliconix";"SI2333DDS-T1-GE3";
"Q2";"SI223DDS";"SI223DDS";"SOT23-3";"6A SOT-23 P Fet";"";"SI2333DDS-T1-GE3CT-ND";"Vishay Siliconix";"SI2333DDS-T1-GE3";
"R1";"0";"RESISTOR0402_RES";"0402_RES";"Resistor";"";"311-0.0JRCT-ND";"Yageo";"RC0402JR-070RL";
"R2";"1k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 1K OHM 1% 1/16W 0402";"1276-3430-1-ND";"Samsung";"RC1005F102CS";
"R3";"1k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 1K OHM 1% 1/16W 0402";"1276-3430-1-ND";"Samsung";"RC1005F102CS";
"R4";"1k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 1K OHM 1% 1/16W 0402";"1276-3430-1-ND";"Samsung";"RC1005F102CS";
"R5";"8.2k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 8.2K OHM 1% 1/16W 0402";"311-8.20KLRCT-ND";"Yageo";"RC0402FR-078K2L";
"R6";"10k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 10K OHM 1% 1/16W 0402";"1276-3431-1-ND";"Samsung";"RC1005F103CS";
"R7";"10k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 10K OHM 1% 1/16W 0402";"1276-3431-1-ND";"Samsung";"RC1005F103CS";
"R8";"12k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 12K OHM 1% 1/16W 0402";"1276-4122-1-ND";"Samsung";"RC1005F123CS";
"R9";"100k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 100K OHM 1% 1/16W 0402";"1276-3432-1-ND";"Samsung";"RC1005F104CS";
"R10";"100k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 100K OHM 1% 1/16W 0402";"1276-3432-1-ND";"Samsung";"RC1005F104CS";
"R11";"100k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 100K OHM 1% 1/16W 0402";"1276-3432-1-ND";"Samsung";"RC1005F104CS";
"R12";"100k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 100K OHM 1% 1/16W 0402";"1276-3432-1-ND";"Samsung";"RC1005F104CS";
"R13";"100k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 100K OHM 1% 1/16W 0402";"1276-3432-1-ND";"Samsung";"RC1005F104CS";
"R14";"100k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 100K OHM 1% 1/16W 0402";"1276-3432-1-ND";"Samsung";"RC1005F104CS";
"R15";"100k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 100K OHM 1% 1/16W 0402";"1276-3432-1-ND";"Samsung";"RC1005F104CS";
"R16";"200k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RES SMD 200K OHM 5% 1/10W 0603";"311-200KGRCT-ND";"Yageo";"RC0603JR-07200KL";
"R17";"240k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 240K OHM 1% 1/10W 0402";"P240KLCT-ND";"Panasonic";"ERJ-2RKF2403X";
"R18";"330k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 330K OHM 1% 1/16W 0402";"1276-4244-1-ND";"Samsung";"RC1005F334CS";
"R19";"750k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 750K OHM 1% 1/10W 0402";"P750KLCT-ND";"Panasonic";"ERJ-2RKF7503X";
"R20";"1M";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 100K OHM 1% 1/16W 0402";"1276-3432-1-ND";"Samsung";"RC1005F104CS";
"R21";"1M";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 100K OHM 1% 1/16W 0402";"1276-3432-1-ND";"Samsung";"RC1005F104CS";
"U1";"SAM4LC8AA";"SAM4LC8AA";"QFN-48-7MM";"Atmel SAM4L microcontroller. ARM Cortex M4 with 512 KB Flash and 64 KB RAM";"";"ATSAM4LC8AA-MU-ND";"Microchip Technology";"ATSAM4LC8AA-MU";
"U3";"MSGEQ7";"MSGEQ7";"DIP-8";"A CMOS spectrum analyzer";"";"1568-1335-ND";"Sparkfun Electronics";"COM-10468";
"U4";"HB100";"HB100";"HB100";"";"CONN HEADER 2POS .100" SNGL TIN";"SAM1067-02-ND";"Samtec";"TSW-102-17-T-S";
"U5";"OP284E_SEPARATE";"OP284E_SEPARATE";"OP284E_SEPARATE";"";"IC OPAMP GP 4.25MHZ RRO 8SOIC";"OP284ESZ-ND";"Analog Devices";"OP284ESZ";
"U7";"TLV62130";"TLV62130";"TQFN-16/3MM";"High Efficient 3A switching step-down regulator. 1V-5V out, 4V-17V in.";"";"296-35978-1-ND";"Texas Instruments";"TLV62130RGTR";
"X1";"FH1600015";"FH1600015";"FHXXX";"Pericom Type FH 16 MHz 2.5 x 2.0 mm";"";"FH1600015CT-ND";"Diodes Incorporated";"FH1600015";
